Timestamp,Distance(cm)
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:31,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:32,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:33,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:34,26.51
09:34:35,26.51
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:35,11.44
09:34:36,11.44
09:34:36,11.44
09:34:36,11.44
09:34:36,173.09
09:34:36,173.09
09:34:36,173.09
09:34:36,173.09
09:34:36,173.09
09:34:36,173.09
09:34:36,173.09
09:34:37,173.09
09:34:37,173.09
09:34:37,173.09
09:34:37,173.09
09:34:37,21.9
09:34:37,21.9
09:34:37,21.9
09:34:37,21.9
09:34:37,21.9
09:34:37,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:38,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:39,21.9
09:34:40,21.9
09:34:40,21.9
09:34:40,21.9
09:34:40,171.45
09:34:40,171.45
09:34:40,171.45
09:34:40,171.45
09:34:40,171.45
09:34:40,171.45
09:34:40,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:41,171.45
09:34:42,171.45
09:34:42,171.45
09:34:42,171.45
09:34:42,171.45
09:34:42,170.16
09:34:42,170.16
09:34:42,170.16
09:34:42,170.16
09:34:42,170.16
09:34:42,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:43,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:44,170.16
09:34:45,170.16
09:34:45,170.16
09:34:45,18.23
09:34:45,18.23
09:34:45,18.23
09:34:45,18.23
09:34:45,18.23
09:34:45,18.23
09:34:45,18.23
09:34:45,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
09:34:46,18.23
